Runtime of genetic using different mutations/crossovers

Mutation variations:
-- base crossover: OX

Time: 0.009. Genetic, random mutation, 5 cities, 10 generations. 
Time: 0.032. Genetic, random mutation, 5 cities, 25 generations. 
Time: 0.111. Genetic, random mutation, 5 cities, 50 generations. 
Time: 0.435. Genetic, random mutation, 5 cities, 100 generations. 
Time: 1.576. Genetic, random mutation, 5 cities, 200 generations. 
Time: 9.038. Genetic, random mutation, 5 cities, 500 generations. 
Time: 37.578. Genetic, random mutation, 5 cities, 1000 generations. 
Time: 0.023. Genetic, random mutation, 10 cities, 10 generations. 
Time: 0.077. Genetic, random mutation, 10 cities, 25 generations. 
Time: 0.224. Genetic, random mutation, 10 cities, 50 generations. 
Time: 0.771. Genetic, random mutation, 10 cities, 100 generations. 
Time: 2.774. Genetic, random mutation, 10 cities, 200 generations. 
Time: 16.358. Genetic, random mutation, 10 cities, 500 generations. 
Time: 63.104. Genetic, random mutation, 10 cities, 1000 generations. 
Time: 0.042. Genetic, random mutation, 15 cities, 10 generations. 
Time: 0.136. Genetic, random mutation, 15 cities, 25 generations. 
Time: 0.392. Genetic, random mutation, 15 cities, 50 generations. 
Time: 1.207. Genetic, random mutation, 15 cities, 100 generations. 
Time: 4.268. Genetic, random mutation, 15 cities, 200 generations. 
Time: 24.626. Genetic, random mutation, 15 cities, 500 generations. 
Time: 94.7. Genetic, random mutation, 15 cities, 1000 generations. 
Time: 0.065. Genetic, random mutation, 20 cities, 10 generations. 
Time: 0.21. Genetic, random mutation, 20 cities, 25 generations. 
Time: 0.574. Genetic, random mutation, 20 cities, 50 generations. 
Time: 1.729. Genetic, random mutation, 20 cities, 100 generations. 
Time: 5.832. Genetic, random mutation, 20 cities, 200 generations. 
Time: 32.661. Genetic, random mutation, 20 cities, 500 generations. 
Time: 127.277. Genetic, random mutation, 20 cities, 1000 generations. 
Time: 0.011. Genetic, hill mutation, 5 cities, 10 generations. 
Time: 0.052. Genetic, hill mutation, 5 cities, 25 generations. 
Time: 0.167. Genetic, hill mutation, 5 cities, 50 generations. 
Time: 0.586. Genetic, hill mutation, 5 cities, 100 generations. 
Time: 2.094. Genetic, hill mutation, 5 cities, 200 generations. 
Time: 12.867. Genetic, hill mutation, 5 cities, 500 generations. 
Time: 54.088. Genetic, hill mutation, 5 cities, 1000 generations. 
Time: 0.029. Genetic, hill mutation, 10 cities, 10 generations. 
Time: 0.104. Genetic, hill mutation, 10 cities, 25 generations. 
Time: 0.319. Genetic, hill mutation, 10 cities, 50 generations. 
Time: 1.049. Genetic, hill mutation, 10 cities, 100 generations. 
Time: 3.935. Genetic, hill mutation, 10 cities, 200 generations. 
Time: 22.866. Genetic, hill mutation, 10 cities, 500 generations. 
Time: 89.914. Genetic, hill mutation, 10 cities, 1000 generations. 
Time: 0.057. Genetic, hill mutation, 15 cities, 10 generations. 
Time: 0.179. Genetic, hill mutation, 15 cities, 25 generations. 
Time: 0.527. Genetic, hill mutation, 15 cities, 50 generations. 
Time: 1.671. Genetic, hill mutation, 15 cities, 100 generations. 
Time: 5.98. Genetic, hill mutation, 15 cities, 200 generations. 
Time: 34.199. Genetic, hill mutation, 15 cities, 500 generations. 
Time: 134.079. Genetic, hill mutation, 15 cities, 1000 generations. 
Time: 0.095. Genetic, hill mutation, 20 cities, 10 generations. 
Time: 0.29. Genetic, hill mutation, 20 cities, 25 generations. 
Time: 0.797. Genetic, hill mutation, 20 cities, 50 generations. 
Time: 2.523. Genetic, hill mutation, 20 cities, 100 generations. 
Time: 8.278. Genetic, hill mutation, 20 cities, 200 generations. 
Time: 46.215. Genetic, hill mutation, 20 cities, 500 generations. 
Time: 179.174. Genetic, hill mutation, 20 cities, 1000 generations. 


Crossover variations:
-- base mutation: random

Time: 0.009. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.032. Genetic, OX crossover, 5 cities, 25 generations. 
Time: 0.111. Genetic, OX crossover, 5 cities, 50 generations. 
Time: 0.435. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 1.576. Genetic, OX crossover, 5 cities, 200 generations. 
Time: 9.038. Genetic, OX crossover, 5 cities, 500 generations. 
Time: 37.578. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 0.023. Genetic, OX crossover, 10 cities, 10 generations. 
Time: 0.077. Genetic, OX crossover, 10 cities, 25 generations. 
Time: 0.224. Genetic, OX crossover, 10 cities, 50 generations. 
Time: 0.771. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 2.774. Genetic, OX crossover, 10 cities, 200 generations. 
Time: 16.358. Genetic, OX crossover, 10 cities, 500 generations. 
Time: 63.104. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 0.042. Genetic, OX crossover, 15 cities, 10 generations. 
Time: 0.136. Genetic, OX crossover, 15 cities, 25 generations. 
Time: 0.392. Genetic, OX crossover, 15 cities, 50 generations. 
Time: 1.207. Genetic, OX crossover, 15 cities, 100 generations. 
Time: 4.268. Genetic, OX crossover, 15 cities, 200 generations. 
Time: 24.626. Genetic, OX crossover, 15 cities, 500 generations. 
Time: 94.7. Genetic, OX crossover, 15 cities, 1000 generations. 
Time: 0.065. Genetic, OX crossover, 20 cities, 10 generations. 
Time: 0.21. Genetic, OX crossover, 20 cities, 25 generations. 
Time: 0.574. Genetic, OX crossover, 20 cities, 50 generations. 
Time: 1.729. Genetic, OX crossover, 20 cities, 100 generations. 
Time: 5.832. Genetic, OX crossover, 20 cities, 200 generations. 
Time: 32.661. Genetic, OX crossover, 20 cities, 500 generations. 
Time: 127.277. Genetic, OX crossover, 20 cities, 1000 generations. 
Time: 0.008. Genetic, greedy crossover, 5 cities, 10 generations. 
Time: 0.027. Genetic, greedy crossover, 5 cities, 25 generations. 
Time: 0.099. Genetic, greedy crossover, 5 cities, 50 generations. 
Time: 0.337. Genetic, greedy crossover, 5 cities, 100 generations. 
Time: 1.141. Genetic, greedy crossover, 5 cities, 200 generations. 
Time: 7.48. Genetic, greedy crossover, 5 cities, 500 generations. 
Time: 27.783. Genetic, greedy crossover, 5 cities, 1000 generations. 
Time: 0.021. Genetic, greedy crossover, 10 cities, 10 generations. 
Time: 0.063. Genetic, greedy crossover, 10 cities, 25 generations. 
Time: 0.198. Genetic, greedy crossover, 10 cities, 50 generations. 
Time: 0.596. Genetic, greedy crossover, 10 cities, 100 generations. 
Time: 2.124. Genetic, greedy crossover, 10 cities, 200 generations. 
Time: 12.472. Genetic, greedy crossover, 10 cities, 500 generations. 
Time: 49.827. Genetic, greedy crossover, 10 cities, 1000 generations. 
Time: 0.035. Genetic, greedy crossover, 15 cities, 10 generations. 
Time: 0.105. Genetic, greedy crossover, 15 cities, 25 generations. 
Time: 0.299. Genetic, greedy crossover, 15 cities, 50 generations. 
Time: 0.914. Genetic, greedy crossover, 15 cities, 100 generations. 
Time: 3.244. Genetic, greedy crossover, 15 cities, 200 generations. 
Time: 18.874. Genetic, greedy crossover, 15 cities, 500 generations. 
Time: 72.447. Genetic, greedy crossover, 15 cities, 1000 generations. 
Time: 0.065. Genetic, greedy crossover, 20 cities, 10 generations. 
Time: 0.159. Genetic, greedy crossover, 20 cities, 25 generations. 
Time: 0.438. Genetic, greedy crossover, 20 cities, 50 generations. 
Time: 1.324. Genetic, greedy crossover, 20 cities, 100 generations. 
Time: 4.46. Genetic, greedy crossover, 20 cities, 200 generations. 
Time: 25.191. Genetic, greedy crossover, 20 cities, 500 generations. 
Time: 95.772. Genetic, greedy crossover, 20 cities, 1000 generations. 


Trials to be sorted:
 
Time: 2.127. Genetic, OX crossover, 10 cities, 200 generations. 
Time: 4.59. Genetic, OX crossover, 10 cities, 300 generations. 
Time: 4.232. Genetic, OX crossover, 15 cities, 200 generations. 
Time: 86.188. Genetic, OX crossover, 15 cities, 1000 generations. 
Time: 70.289. Genetic, OX crossover, 15 cities, 1000 generations. 
Time: 47.742. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 0.783. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 10.137. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 6.425. Genetic, OX crossover, 20 cities, 100 generations. 
Time: 13.31. Genetic, OX crossover, 20 cities, 200 generations. 
Time: 19.36. Genetic, OX crossover, 20 cities, 300 generations. 
Time: 1.355. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.06. Genetic, OX crossover, 10 cities, 5 generations. 
Time: 0.044. Genetic, OX crossover, 5 cities, 5 generations. 
Time: 0.043. Genetic, OX crossover, 5 cities, 5 generations. 
Time: 0.024. Genetic, OX crossover, 3 cities, 5 generations. 
Time: 0.081. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 9.813. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 0.778. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 11.871. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 0.001. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 0.0. Genetic, OX crossover, 5 cities, 10000 generations. 
Time: 0.233. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.085. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.545. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.083. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.747. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 0.201. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 2.0. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.29. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.765. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 15.438. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 22.646. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 1.767. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 16.578. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 0.393. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 10.964. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 0.014. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.011. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.014. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.014. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.013. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.032. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.015. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.093. Genetic, OX crossover, 10 cities, 10 generations. 
Time: 0.124. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.867. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.081. Genetic, OX crossover, 10 cities, 10 generations. 
Time: 0.825. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.838. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.822. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.821. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.057. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.06. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 1.239. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.625. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.742. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.986. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.188. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.165. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.172. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.431. Genetic, OX crossover, 5 cities, 10 generations. 
Time: 0.209. Genetic, OX crossover, 5 cities, 5 generations. 
Time: 0.242. Genetic, OX crossover, 5 cities, 5 generations. 
Time: 0.159. Genetic, OX crossover, 5 cities, 3 generations. 
Time: 0.2. Genetic, OX crossover, 5 cities, 3 generations. 
Time: 0.226. Genetic, OX crossover, 5 cities, 3 generations. 
Time: 0.122. Genetic, OX crossover, 5 cities, 3 generations. 
Time: 1.304. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.107. Genetic, OX crossover, 5 cities, 100 generations. 
